10 30
8.318641609054620e-01 2.612839375633897e+00 0.000000000000000e+00
8.232369984385509e-01 2.786769472424830e+00 0.000000000000000e+00
8.138035760809492e-01 2.960630366676233e+00 0.000000000000000e+00
8.034661141967090e-01 3.134406196075687e+00 0.000000000000000e+00
7.921565750488164e-01 3.308081762985219e+00 0.000000000000000e+00
7.797545767465797e-01 3.481633866614909e+00 0.000000000000000e+00
7.661109834415534e-01 3.655031716475517e+00 0.000000000000000e+00
7.510388165602131e-01 3.828233728504736e+00 0.000000000000000e+00
7.342278178486984e-01 4.001170483853981e+00 0.000000000000000e+00
7.153437482871743e-01 4.173752243013720e+00 0.000000000000000e+00
6.937724869923014e-01 4.345810854053878e+00 0.000000000000000e+00
6.685799324338991e-01 4.517050194034190e+00 0.000000000000000e+00
6.378757013304315e-01 4.686782972090842e+00 0.000000000000000e+00
5.973020433585416e-01 4.852982552420382e+00 0.000000000000000e+00
5.274985970461452e-01 5.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 -3.061616997868383e-16 0.000000000000000e+00
9.996877550957042e-01 1.742833606131530e-01 0.000000000000000e+00
9.987746049947488e-01 3.485645864216554e-01 0.000000000000000e+00
9.972575198797571e-01 5.228415926675869e-01 0.000000000000000e+00
9.951315415823696e-01 6.971122406344045e-01 0.000000000000000e+00
9.923846267674050e-01 8.713742209666178e-01 0.000000000000000e+00
9.889874997509782e-01 1.045624731436757e+00 0.000000000000000e+00
9.849517509022834e-01 1.219861596110792e+00 0.000000000000000e+00
9.802633101835113e-01 1.394082117981007e+00 0.000000000000000e+00
9.748913933196418e-01 1.568282907297313e+00 0.000000000000000e+00
9.688014024363282e-01 1.742460057897151e+00 0.000000000000000e+00
9.619951030745695e-01 1.916610670660891e+00 0.000000000000000e+00
9.544198882837521e-01 2.090729516938338e+00 0.000000000000000e+00
9.460360520958762e-01 2.264811287428546e+00 0.000000000000000e+00
9.368193528191835e-01 2.438850923098783e+00 0.000000000000000e+00
9.266824925927299e-01 2.612839375633897e+00 0.000000000000000e+00
9.155904265638440e-01 2.786769472424830e+00 0.000000000000000e+00
9.034617406754981e-01 2.960630366676232e+00 0.000000000000000e+00
8.901707182529027e-01 3.134406196075687e+00 0.000000000000000e+00
8.756298822056119e-01 3.308081762985218e+00 0.000000000000000e+00
8.596844558170216e-01 3.481633866614909e+00 0.000000000000000e+00
8.421426929962728e-01 3.655031716475517e+00 0.000000000000000e+00
8.227641927202638e-01 3.828233728504736e+00 0.000000000000000e+00
8.011500515197447e-01 4.001170483853981e+00 0.000000000000000e+00
7.768705335120708e-01 4.173752243013720e+00 0.000000000000000e+00
7.491360547043773e-01 4.345810854053877e+00 0.000000000000000e+00
7.167456274150036e-01 4.517050194034191e+00 0.000000000000000e+00
6.772687588534032e-01 4.686782972090842e+00 0.000000000000000e+00
6.251026271752611e-01 4.852982552420382e+00 0.000000000000000e+00
5.353553390593273e-01 5.000000000000000e+00 0.000000000000000e+00
